name,price,onPrescription
ACARILBIAL SOL EXT F/200ML,2825,FALSE
ACCUZON 1G SOL INJ B/1,2990,FALSE
ACCUZON 250MG SOL INJ B/1,2090,FALSE
ACEFLAMEX 100MG CPR B/20,2350,FALSE
ACFOL 5MG CPR B/25,1700,FALSE
ACFRAN SP F/200ML,2820,FALSE
ACIDE ACETYLSAL UBI 500MG CPR,10790,FALSE
ACIDE FOLIQUE 5MG CPR B/30,1335,FALSE
"ACINET 1,2G SOL INJ F/5ML",1945,FALSE
ACINET 1G CPR B/10,4595,FALSE
ACLAV 1G/125MG SACH B/12,4385,FALSE
"ACLAV 100MG/12,5MG F/60ML",4065,FALSE
"ACLAV 500MG/62,5MG SACH B/12",4350,FALSE
ACLIN GEL T/15G,3325,FALSE
ACTAPULGITE PED 1G PDRE SACH B,1640,FALSE
ACTAPULGITE 3G PDRE SUSP BUV S,3615,FALSE
ACTI 5 BUV AMP 5ML BT 30,4230,FALSE
ACTIFED BUV SOL FL 100ML,1885,FALSE
ACTIFED CPR B/18,1225,FALSE
ACTIMAG SP F/100ML,4040,FALSE
ACTINAC PLUS 100MG/500MG CPR B,4585,FALSE
ACTINAC PLUS 100MG/500MG CPR 1,2245,FALSE
ACTINAC 100MG CPR B/10,1940,FALSE
ACTINAC 100MG CPR B/30,5805,FALSE
ACTIVAROL BUV AMP 10 ML BT 14,4345,FALSE
ACUDROX 250MG SUSP BUV F/60ML,2945,FALSE
"ACUILIX 20MG/12,5MG CPR SEC B/",6850,FALSE
ACUPAN INJ SOL 2ML B/5 AFR,3130,FALSE
ACUPAN INJ SOL 2ML B/5 DT,3130,FALSE
ACYCLOVIR DENK 200MG CPR B/25,7470,FALSE
ACYCLOVIR DENK 5% CR T/5G,4435,FALSE
ACYCLOVIR DENK 5% CR T/7G,4435,FALSE
ADALAT LA 30MG CPR B/30,10250,FALSE
ADALATE LP 20MG CPR ANF B/30,6720,FALSE
ADALATE LP 20MG CPR BT 30,6720,FALSE
ADALATE 10MG CAPS ANF B/30,3585,FALSE
ADALATE 10MG CAPSULE BT 30,3480,FALSE
ADDITIVA UROCRAN STICK B/20,4285,FALSE
ADEPAL CPR DRG PLQ 1X21,1355,FALSE
ADEPAL CPR DRG PLQ 3X21,2935,FALSE
ADRIBLASTINE 10MG INJ F/5ML,7080,FALSE
ADRIBLASTINE 50MG LYO INJ F/1,33100,FALSE
ADRIDE M 2MG/500MG CPR B/30,4630,FALSE
ADRIDE 2MG CPR SEC B/30,4400,FALSE
ADRIDE 4MG CPR SEC B/30,6275,FALSE
ADVIL 20MG/ML SUSP PEDIA F/200,3100,FALSE
ADVILMED 20MG/ML SUSP PEDIA F/,3105,FALSE
AERIUS SP F/60ML + CUIL/1,3655,FALSE
AERIUS 5MG CPR PELL B/15,5080,FALSE
AERIUS 5MG CPR PELL B/7,2560,FALSE
AGRAM 125MG BUV POUDRE FL 60ML,1015,FALSE
AGRAM 250MG BUV POUDRE FL 60ML,1345,FALSE
AGRAM 500MG BUV POUDRE FL 60ML,1740,FALSE
AGRAM 500MG GELULE BT 12,1265,FALSE
AIRTAL 100MG CPR BT 10,2975,FALSE
AIRTAL 100MG CPR BT 40,10460,FALSE
ALBEN 4% SUSP.10ML FL 1,1340,FALSE
ALBEN 400MG COMP BTE 1,1200,FALSE
ALBEN 400MG CPR B/1 SD,1215,FALSE
ALBENDAPHAR COMP BT/1,1085,FALSE
ALBENDAZOLE TM 400MG CPR B/1,380,FALSE
ALBENDAZOLE UBI 400MG CPR 50BL,5270,FALSE
ALBENDAZOLE 200MG/5ML SUSP BUV,855,FALSE
ALBENDAZOLE 200MG/5ML SUSP BUV,1980,FALSE
