name,price,onPrescription
A CERUMEN SPRAY AURI F/ 40ML,4200,FALSE
A CERUMEN UNIDOSE B/10,2600,FALSE
ABUFENE 400MG COMP B/30,10775,FALSE
ABZ SUSP BUV F/10ML,650,FALSE
ACARILBIAL SOL EXT F/ 200ML,2750,FALSE
ACCU CHEK ACTIVE BDLET / 50,12450,FALSE
ACCU CHEK ACTIVE BDLET B/25,7100,FALSE
ACCU CHEK ACTIVE GLUCOMETRE MG/DL/1,24500,FALSE
ACEFLAMEX 100MG CP B/20,2325,FALSE
ACEFYL SP F/120ML,1425,FALSE
ACELAV 1G SACH B/16,4450,FALSE
ACELAV 500MG EFT SP F/ 60ML,3350,FALSE
ACELODON P CP B/10,1500,FALSE
ACFOL 5MG COMP B/25,1725,FALSE
ACFRAN CP B/30,2525,FALSE
ACFRAN SP F/200ML,2875,FALSE
ACICLOVIR 400MG COMP B/ 10,1500,FALSE
ACIDE FOLIQUE CRE 5MG CP B/100,2475,FALSE
ACIDE FOLIQUE CRE 5MG CP B/30,1350,FALSE
ACIDE FOLIQUE CRE CP PL/ 20,500,FALSE
ACIDE FOLIQUE TONG 5MG CP /40,725,FALSE
A-CIN 500MG CP B/3,2850,FALSE
ACLAV 100/12.5MG S.BUV 60ML,"4,125",FALSE
ACLAV 1G SACH B/12,"4,450",FALSE
ACLAV 500/62.5MG SACH B/ 12,4400,FALSE
ACLIN GEL T/15G,3375,FALSE
ACTAPULGITE 3G SHT ENFT/ AD,3800,FALSE
ACTAPULGITE P 1G NN,1650,FALSE
ACTICARBINE CP B/42,1800,FALSE
ACTIFED CPR B/18,1250,FALSE
ACTIFED RHUM JOUR/NUIT COMP B/16,7375,FALSE
ACTIMAG SOL BUV FL/100ML,4100,FALSE
ACTIMOVE CEINT LOMB GRIS TM,45325,FALSE
ACTIMOVE CEINT LOMB T/ L,40425,FALSE
ACTIMOVE CEINT LOMBAIRE T/XL,50100,FALSE
ACTIMOVE KNEE STABILIZ GENOU XXL,17000,FALSE
ACTIMOVE MITELLA CONF TL,5875,FALSE
ACTINAC 100 MG CP B/30,5600,FALSE
ACTINAC 100MG CP B/10,1975,FALSE
